song,artist,play_time,download_time,username,time_type,play_datetime,play_date,time_day_secs,hour,day_of_month,weekday,weekend_flag,time_since_play,artist_count,total_plays,avg_play_hour,avg_play_day,total_weekend_plays,total_artist_plays,artist_distinct_songs,artist_max_song_count,artist_max_song_percent,percent_of_artist_play,song_rank,artist_rank
Higher Love,James Vincent McMorrow,19hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 19:31:03.813210,2019-10-23,70263,19,23,2,0,68400,109,4,15.25,2.25,0,109,27,13,0.11926605504587157,0.03669724770642202,836,26.0
"Early in the Morning, I'll Come Calling",James Vincent McMorrow,19hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 19:31:03.813210,2019-10-23,70263,19,23,2,0,68400,109,5,13.8,2.0,0,109,27,13,0.11926605504587157,0.045871559633027525,685,26.0
From the Woods!!,James Vincent McMorrow,19hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 19:31:03.813210,2019-10-23,70263,19,23,2,0,68400,109,5,13.6,2.0,0,109,27,13,0.11926605504587157,0.045871559633027525,630,26.0
Down the Burning Ropes,James Vincent McMorrow,19hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 19:31:03.813210,2019-10-23,70263,19,23,2,0,68400,109,6,12.833333333333334,2.3333333333333335,0,109,27,13,0.11926605504587157,0.05504587155963303,420,26.0
This Old Dark Machine,James Vincent McMorrow,19hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 19:31:03.813210,2019-10-23,70263,19,23,2,0,68400,109,6,12.666666666666666,2.3333333333333335,0,109,27,13,0.11926605504587157,0.05504587155963303,432,26.0
Sonata for Violin and Piano in A major: Allegretto ben moderato,César Franck,20hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 18:31:03.813210,2019-10-23,66663,18,23,2,0,72000,3,1,18.0,2.0,0,3,3,1,0.3333333333333333,0.3333333333333333,2466,434.0
"Piano Concerto No.3, BB 127, Sz. 119: 1. Allegretto",Béla Bartók,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,1,1,16.0,2.0,0,1,1,1,1.0,1.0,2455,807.0
Ginastera: Estancia / Danzas del Ballet ,Alberto Ginastera,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,1,1,16.0,2.0,0,1,1,1,1.0,1.0,2860,807.0
Septet in E flat major Op. 20: IV. Tema con Variaziono (Andante),Ludwig van Beethoven,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,86,4,13.5,1.75,0,86,21,18,0.20930232558139536,0.046511627906976744,849,37.0
Zapateo,Leo Brouwer,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,1,1,16.0,2.0,0,1,1,1,1.0,1.0,2314,807.0
"Elgar: Pomp and Circumstance, Op. 39: II. March No. 2 in A Minor (Allegro molto)",Edward Elgar,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,133,6,13.666666666666666,2.0,0,133,24,15,0.11278195488721804,0.045112781954887216,485,22.0
Variations for violin and piano on 'Trockne Blumen' from Die schöne Müllerin: Introduction,Franz Schubert,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,20,1,16.0,2.0,0,20,4,10,0.5,0.05,2265,112.0
Panis angelicus (arr. by L. Stokowski),Cesar Franck,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,1,1,16.0,2.0,0,1,1,1,1.0,1.0,2442,807.0
"Violin Concerto in A minor, BWV 1041: III. Allegro assai",Nigel Kennedy,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,2,1,16.0,2.0,0,2,2,1,0.5,0.5,4279,560.0
"Turandot / Act 3: ""Nessun dorma!""",Giacomo Puccini,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,66,1,16.0,2.0,0,66,46,4,0.06060606060606061,0.015151515151515152,2963,51.0
"Violin Concerto in E Minor, Op. 64 : 2. Andante",Felix Mendelssohn,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,1,1,16.0,2.0,0,1,1,1,1.0,1.0,2502,807.0
Song of the Black Swan,Heitor Villa-Lobos,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,1,1,16.0,2.0,0,1,1,1,1.0,1.0,2720,807.0
"Hungarian Dances, WoO 1: No. 4 in F",Johannes Brahms,22hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 16:31:03.813210,2019-10-23,59463,16,23,2,0,79200,2,1,16.0,2.0,0,2,2,1,0.5,0.5,2754,560.0
"Elgar: Pomp and Circumstance, Op. 39: I. March No. 1 in D Major (Allegro con molto fuoco ",Edward Elgar,23hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 15:31:03.813210,2019-10-23,55863,15,23,2,0,82800,133,6,13.5,2.0,0,133,24,15,0.11278195488721804,0.045112781954887216,486,22.0
Septet in E flat major Op. 20: V. Scherzo (Allegro molto e vivace) & Trio,Ludwig van Beethoven,23hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 15:31:03.813210,2019-10-23,55863,15,23,2,0,82800,86,4,13.0,1.75,0,86,21,18,0.20930232558139536,0.046511627906976744,847,37.0
"Elgar: Variations on an Original Theme, Op. 36, Enigma: IX. Nimrod (Adagio)",Edward Elgar,23hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 15:31:03.813210,2019-10-23,55863,15,23,2,0,82800,133,15,14.733333333333333,2.1333333333333333,1,133,24,15,0.11278195488721804,0.11278195488721804,111,22.0
Ten Etudes ,Giulio Regondi,23hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 15:31:03.813210,2019-10-23,55863,15,23,2,0,82800,1,1,15.0,2.0,0,1,1,1,1.0,1.0,2633,807.0
Legend of Zelda – the Windwaker: Dragon Roost Island,London Philharmonic Orchestra,23hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 15:31:03.813210,2019-10-23,55863,15,23,2,0,82800,1,1,15.0,2.0,0,1,1,1,1.0,1.0,2960,807.0
"Trio for Piano, Violin & Cello No.1 in Bb Major, Op.99 D898: Andante un poco mosso",Franz Schubert,23hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 15:31:03.813210,2019-10-23,55863,15,23,2,0,82800,20,10,13.9,2.3,1,20,4,10,0.5,0.5,226,112.0
Is It Because I'm Black?,Ken Boothe,23hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 15:31:03.813210,2019-10-23,55863,15,23,2,0,82800,1,1,15.0,2.0,0,1,1,1,1.0,1.0,3083,807.0
"Four Ballades: Ballade No. 1 in G Minor, Op. 23: Largo",Frédéric Chopin,23hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 15:31:03.813210,2019-10-23,55863,15,23,2,0,82800,43,1,15.0,2.0,0,43,8,9,0.20930232558139536,0.023255813953488372,3891,69.0
"Mass, Op. 12: V. Panis Angelicus",César Franck,23hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 15:31:03.813210,2019-10-23,55863,15,23,2,0,82800,3,1,15.0,2.0,0,3,3,1,0.3333333333333333,0.3333333333333333,2464,434.0
"Elgar: Variations on an Original Theme, Op. 36, ""Enigma"": XIV. E.D.U. (The Composer). Allegro presto (Finale)",Edward Elgar,23hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 15:31:03.813210,2019-10-23,55863,15,23,2,0,82800,133,7,12.714285714285714,1.8571428571428572,0,133,24,15,0.11278195488721804,0.05263157894736842,405,22.0
"Elgar: Pomp and Circumstance, Op. 39: III. March No. 3 in C Minor (Con fuoco ",Edward Elgar,23hoursago,2019-10-24 14:31:03.813210,COKUNUBI,hours_ago,2019-10-23 15:31:03.813210,2019-10-23,55863,15,23,2,0,82800,133,6,13.833333333333334,2.0,0,133,24,15,0.11278195488721804,0.045112781954887216,484,22.0
Dirty Old Egg,Johnny Cash,19hoursago,2019-10-24 14:33:48.816240,rosiedempsey93,hours_ago,2019-10-23 19:33:48.816240,2019-10-23,70428,19,23,2,0,68400,346,4,11.25,3.0,0,346,79,35,0.10115606936416185,0.011560693641618497,433,1.0
Haunted By You,Gene,20hoursago,2019-10-24 14:33:48.816240,rosiedempsey93,hours_ago,2019-10-23 18:33:48.816240,2019-10-23,66828,18,23,2,0,72000,4,4,15.0,2.75,1,4,1,4,1.0,1.0,411,255.0
Not Nineteen Forever,The Courteeners,20hoursago,2019-10-24 14:33:48.816240,rosiedempsey93,hours_ago,2019-10-23 18:33:48.816240,2019-10-23,66828,18,23,2,0,72000,28,3,15.0,2.3333333333333335,0,28,14,5,0.17857142857142858,0.10714285714285714,523,35.0
Nothing To Be Done,The Pastels,20hoursago,2019-10-24 14:33:48.816240,rosiedempsey93,hours_ago,2019-10-23 18:33:48.816240,2019-10-23,66828,18,23,2,0,72000,3,3,15.666666666666666,0.6666666666666666,0,3,1,3,1.0,1.0,695,296.0
Walking Down Madison,Kirsty MacColl,23hoursago,2019-10-24 14:33:48.816240,rosiedempsey93,hours_ago,2019-10-23 15:33:48.816240,2019-10-23,56028,15,23,2,0,82800,37,7,16.142857142857142,2.7142857142857144,1,37,8,7,0.1891891891891892,0.1891891891891892,172,18.0
Upon This Tidal Wave of Young Blood,Clap Your Hands Say Yeah,23hoursago,2019-10-24 14:33:48.816240,rosiedempsey93,hours_ago,2019-10-23 15:33:48.816240,2019-10-23,56028,15,23,2,0,82800,8,8,14.125,1.375,0,8,1,8,1.0,1.0,120,150.0
Sour Girl,Stone Temple Pilots,23hoursago,2019-10-24 14:33:48.816240,rosiedempsey93,hours_ago,2019-10-23 15:33:48.816240,2019-10-23,56028,15,23,2,0,82800,70,28,12.392857142857142,2.5714285714285716,4,70,6,28,0.4,0.4,7,10.0
No Rain,Blind Melon,23hoursago,2019-10-24 14:33:48.816240,rosiedempsey93,hours_ago,2019-10-23 15:33:48.816240,2019-10-23,56028,15,23,2,0,82800,29,28,13.214285714285714,2.2857142857142856,3,29,2,28,0.9655172413793104,0.9655172413793104,6,32.0
"Pain, Loss & Love",Rupert Gregson-Williams,23Oct2:05pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 14:05:00.000000,2019-10-23,50700,14,23,2,0,1563,137,1,14.0,2.0,0,137,28,46,0.3357664233576642,0.0072992700729927005,4450,19.0
The Secret Wedding,James Horner,23Oct1:43pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 13:43:00.000000,2019-10-23,49380,13,23,2,0,2883,70,1,13.0,2.0,0,70,13,34,0.4857142857142857,0.014285714285714285,3687,47.0
Fahrenheit 451 (Truffaut),Elmer Bernstein,23Oct1:39pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 13:39:00.000000,2019-10-23,49140,13,23,2,0,3123,4,1,13.0,2.0,0,4,4,1,0.25,0.25,2141,369.0
The Healing,James Newton Howard,23Oct1:19pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 13:19:00.000000,2019-10-23,47940,13,23,2,0,4323,179,1,13.0,2.0,0,179,20,50,0.27932960893854747,0.00558659217877095,3268,10.0
Vertigo (Hitchcock),Elmer Bernstein,23Oct12:56pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 12:56:00.000000,2019-10-23,46560,12,23,2,0,5703,4,1,12.0,2.0,0,4,4,1,0.25,0.25,2194,369.0
The Rain,DMX,23Oct9:54am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 09:54:00.000000,2019-10-23,35640,9,23,2,0,16623,18,1,9.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4151,122.0
Who We Be,DMX,23Oct9:49am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 09:49:00.000000,2019-10-23,35340,9,23,2,0,16923,18,1,9.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4156,122.0
It's All Good,DMX,23Oct9:44am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 09:44:00.000000,2019-10-23,35040,9,23,2,0,17223,18,1,9.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4143,122.0
X Gon' Give It To Ya,DMX,23Oct9:41am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 09:41:00.000000,2019-10-23,34860,9,23,2,0,17403,18,1,9.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4157,122.0
Party Up,DMX,23Oct9:36am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 09:36:00.000000,2019-10-23,34560,9,23,2,0,17703,18,1,9.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4145,122.0
Where The Hood At,DMX,23Oct9:32am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 09:32:00.000000,2019-10-23,34320,9,23,2,0,17943,18,1,9.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4155,122.0
What's My Name,DMX,23Oct9:29am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 09:29:00.000000,2019-10-23,34140,9,23,2,0,18123,18,1,9.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4154,122.0
Blackout,DMX,23Oct9:24am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 09:24:00.000000,2019-10-23,33840,9,23,2,0,18423,18,1,9.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4140,122.0
What These Bitches Want,DMX,23Oct9:20am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 09:20:00.000000,2019-10-23,33600,9,23,2,0,18663,18,1,9.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4153,122.0
How's It Goin' Down,DMX,23Oct9:16am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 09:16:00.000000,2019-10-23,33360,9,23,2,0,18903,18,1,9.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4142,122.0
Stop Being Greedy,DMX,23Oct9:12am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 09:12:00.000000,2019-10-23,33120,9,23,2,0,19143,18,1,9.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4150,122.0
Get At Me Dog ,DMX,23Oct9:09am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 09:09:00.000000,2019-10-23,32940,9,23,2,0,19323,18,1,9.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4141,122.0
Ruff Ryders' Anthem,DMX,23Oct9:06am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 09:06:00.000000,2019-10-23,32760,9,23,2,0,19503,18,1,9.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4148,122.0
Prayer III,DMX,23Oct9:04am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 09:04:00.000000,2019-10-23,32640,9,23,2,0,19623,18,1,9.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4147,122.0
Prayer ,DMX,23Oct9:01am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 09:01:00.000000,2019-10-23,32460,9,23,2,0,19803,18,1,9.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4146,122.0
Slippin',DMX,23Oct8:56am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 08:56:00.000000,2019-10-23,32160,8,23,2,0,20103,18,1,8.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4149,122.0
One More Road To Cross,DMX,23Oct8:52am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 08:52:00.000000,2019-10-23,31920,8,23,2,0,20343,18,1,8.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4144,122.0
We Right Here,DMX,23Oct8:47am,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-23 08:47:00.000000,2019-10-23,31620,8,23,2,0,20643,18,1,8.0,2.0,0,18,18,1,0.05555555555555555,0.05555555555555555,4152,122.0
Phenomenal Woman,Laura Mvula,22Oct10:35pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 22:35:00.000000,2019-10-22,81300,22,22,1,0,57363,142,11,7.7272727272727275,1.7272727272727273,0,142,13,12,0.08450704225352113,0.07746478873239436,192,16.0
Nan,Laura Mvula,22Oct10:34pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 22:34:00.000000,2019-10-22,81240,22,22,1,0,57423,142,11,7.7272727272727275,1.7272727272727273,0,142,13,12,0.08450704225352113,0.07746478873239436,187,16.0
People,Laura Mvula,22Oct10:30pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 22:30:00.000000,2019-10-22,81000,22,22,1,0,57663,142,11,7.545454545454546,1.7272727272727273,0,142,13,12,0.08450704225352113,0.07746478873239436,184,16.0
Angel,Laura Mvula,22Oct10:27pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 22:27:00.000000,2019-10-22,80820,22,22,1,0,57843,142,12,7.5,1.75,0,142,13,12,0.08450704225352113,0.08450704225352113,150,16.0
Renaissance Moon,Laura Mvula,22Oct10:26pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 22:26:00.000000,2019-10-22,80760,22,22,1,0,57903,142,12,7.333333333333333,1.75,0,142,13,12,0.08450704225352113,0.08450704225352113,157,16.0
Show Me Love,Laura Mvula,22Oct10:20pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 22:20:00.000000,2019-10-22,80400,22,22,1,0,58263,142,12,7.166666666666667,1.75,0,142,13,12,0.08450704225352113,0.08450704225352113,156,16.0
Kiss My Feet,Laura Mvula,22Oct10:16pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 22:16:00.000000,2019-10-22,80160,22,22,1,0,58503,142,12,7.166666666666667,1.75,0,142,13,12,0.08450704225352113,0.08450704225352113,161,16.0
Let Me Fall,Laura Mvula,22Oct10:12pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 22:12:00.000000,2019-10-22,79920,22,22,1,0,58743,142,12,7.083333333333333,1.75,0,142,13,12,0.08450704225352113,0.08450704225352113,160,16.0
Lucky Man,Laura Mvula,22Oct10:09pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 22:09:00.000000,2019-10-22,79740,22,22,1,0,58923,142,12,9.0,1.6666666666666667,0,142,13,12,0.08450704225352113,0.08450704225352113,159,16.0
Bread,Laura Mvula,22Oct10:06pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 22:06:00.000000,2019-10-22,79560,22,22,1,0,59103,142,12,8.916666666666666,1.6666666666666667,0,142,13,12,0.08450704225352113,0.08450704225352113,162,16.0
Overcome,Laura Mvula,22Oct10:03pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 22:03:00.000000,2019-10-22,79380,22,22,1,0,59283,142,12,8.916666666666666,1.6666666666666667,0,142,13,12,0.08450704225352113,0.08450704225352113,158,16.0
Who I Am,Laura Mvula,22Oct10:02pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 22:02:00.000000,2019-10-22,79320,22,22,1,0,59343,142,12,8.916666666666666,1.6666666666666667,0,142,13,12,0.08450704225352113,0.08450704225352113,163,16.0
(Don't Let Them) Catch You Crying,Madness,22Oct8:42pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 20:42:00.000000,2019-10-22,74520,20,22,1,0,64143,12,1,20.0,1.0,0,12,12,1,0.08333333333333333,0.08333333333333333,3710,166.0
Don't Leave The Past Behind You,Madness,22Oct8:39pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 20:39:00.000000,2019-10-22,74340,20,22,1,0,64323,12,1,20.0,1.0,0,12,12,1,0.08333333333333333,0.08333333333333333,3714,166.0
Herbert,Madness,22Oct8:35pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 20:35:00.000000,2019-10-22,74100,20,22,1,0,64563,12,1,20.0,1.0,0,12,12,1,0.08333333333333333,0.08333333333333333,3717,166.0
Mumbo Jumbo,Madness,22Oct8:32pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 20:32:00.000000,2019-10-22,73920,20,22,1,0,64743,12,1,20.0,1.0,0,12,12,1,0.08333333333333333,0.08333333333333333,3720,166.0
Another Version of Me,Madness,22Oct8:29pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 20:29:00.000000,2019-10-22,73740,20,22,1,0,64923,12,1,20.0,1.0,0,12,12,1,0.08333333333333333,0.08333333333333333,3711,166.0
You Are My Everything,Madness,22Oct8:25pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 20:25:00.000000,2019-10-22,73500,20,22,1,0,65163,12,1,20.0,1.0,0,12,12,1,0.08333333333333333,0.08333333333333333,3721,166.0
Blackbird,Madness,22Oct8:21pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 20:21:00.000000,2019-10-22,73260,20,22,1,0,65403,12,1,20.0,1.0,0,12,12,1,0.08333333333333333,0.08333333333333333,3712,166.0
Grandslam,Madness,22Oct8:18pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 20:18:00.000000,2019-10-22,73080,20,22,1,0,65583,12,1,20.0,1.0,0,12,12,1,0.08333333333333333,0.08333333333333333,3716,166.0
I Believe,Madness,22Oct8:15pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 20:15:00.000000,2019-10-22,72900,20,22,1,0,65763,12,1,20.0,1.0,0,12,12,1,0.08333333333333333,0.08333333333333333,3718,166.0
Mr. Apples,Madness,22Oct8:11pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 20:11:00.000000,2019-10-22,72660,20,22,1,0,66003,12,1,20.0,1.0,0,12,12,1,0.08333333333333333,0.08333333333333333,3719,166.0
Good Times,Madness,22Oct8:08pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 20:08:00.000000,2019-10-22,72480,20,22,1,0,66183,12,1,20.0,1.0,0,12,12,1,0.08333333333333333,0.08333333333333333,3715,166.0
Can't Touch Us Now,Madness,22Oct8:03pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 20:03:00.000000,2019-10-22,72180,20,22,1,0,66483,12,1,20.0,1.0,0,12,12,1,0.08333333333333333,0.08333333333333333,3713,166.0
Take Five,King Tubby,22Oct4:59pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 16:59:00.000000,2019-10-22,61140,16,22,1,0,77523,1,1,16.0,1.0,0,1,1,1,1.0,1.0,2628,807.0
Till Then,the FRIGHTNRS,22Oct4:56pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 16:56:00.000000,2019-10-22,60960,16,22,1,0,77703,1,1,16.0,1.0,0,1,1,1,1.0,1.0,2673,807.0
Let the Power Fall On I,Max Romeo,22Oct4:54pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 16:54:00.000000,2019-10-22,60840,16,22,1,0,77823,2,1,16.0,1.0,0,2,2,1,0.5,0.5,2951,560.0
Return of Django,The Upsetters,22Oct4:51pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 16:51:00.000000,2019-10-22,60660,16,22,1,0,78003,1,1,16.0,1.0,0,1,1,1,1.0,1.0,2659,807.0
Ride Your Donkey,The Tennors,22Oct4:49pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 16:49:00.000000,2019-10-22,60540,16,22,1,0,78123,1,1,16.0,1.0,0,1,1,1,1.0,1.0,2663,807.0
Reggae Merengue,Tommy McCook & The Supersonics,22Oct4:47pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 16:47:00.000000,2019-10-22,60420,16,22,1,0,78243,1,1,16.0,1.0,0,1,1,1,1.0,1.0,2652,807.0
Morning Sun,Al Barry,22Oct4:44pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 16:44:00.000000,2019-10-22,60240,16,22,1,0,78423,1,1,16.0,1.0,0,1,1,1,1.0,1.0,2555,807.0
East of the River Nile ,Augustus Pablo,22Oct4:41pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 16:41:00.000000,2019-10-22,60060,16,22,1,0,78603,1,1,16.0,1.0,0,1,1,1,1.0,1.0,2172,807.0
Many Rivers to Cross,Jimmy Cliff,22Oct4:38pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 16:38:00.000000,2019-10-22,59880,16,22,1,0,78783,5,2,11.0,1.5,0,5,4,2,0.4,0.4,1672,310.0
Simmerdown,Nostalgia 77,22Oct4:35pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 16:35:00.000000,2019-10-22,59700,16,22,1,0,78963,1,1,16.0,1.0,0,1,1,1,1.0,1.0,2723,807.0
Yègellé tezeta,Mulatu Astatke,22Oct4:32pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 16:32:00.000000,2019-10-22,59520,16,22,1,0,79143,1,1,16.0,1.0,0,1,1,1,1.0,1.0,2289,807.0
Change the World,The Offspring,22Oct3:45pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 15:45:00.000000,2019-10-22,56700,15,22,1,0,81963,103,15,15.6,2.933333333333333,2,103,10,24,0.23300970873786409,0.14563106796116504,106,28.0
"Toccata and Fugue In D Minor, BWV 565 (arr. L. Stokowski for Orchestra)",Johann Sebastian Bach,22Oct2:38pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 14:38:00.000000,2019-10-22,52680,14,22,1,0,85983,104,55,11.672727272727272,0.45454545454545453,1,104,14,55,0.5288461538461539,0.5288461538461539,12,27.0
Tick Box Mixed Other ,Jaz Kahina,22Oct1:47pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 13:47:00.000000,2019-10-22,49620,13,22,1,0,2643,2,1,13.0,1.0,0,2,2,1,0.5,0.5,2690,560.0
Quitter,Jaz Kahina,22Oct1:43pm,2019-10-24 14:31:03.813210,COKUNUBI,datetime,2019-10-22 13:43:00.000000,2019-10-22,49380,13,22,1,0,2883,2,1,13.0,1.0,0,2,2,1,0.5,0.5,2689,560.0
