song,artist,username,total_plays,time_since_play,avg_play_hour,avg_play_day,total_weekend_plays,total_artist_plays,artist_distinct_songs,artist_max_song_count,artist_max_song_percent,percent_of_artist_play,song_rank,artist_rank
Plus tôt,Alexandra Streliski,COKUNUBI,2,83343,14.0,1.0,0,5,3,2,0.4,0.4,1562,310.0
Bergen,Goldmund,COKUNUBI,1,18303,9.0,3.0,0,8,4,4,0.5,0.125,4129,230.0
Finding It There,Goldmund,COKUNUBI,2,69723,19.0,3.0,0,8,4,4,0.5,0.25,1561,230.0
Sumi,Goldmund,COKUNUBI,1,16983,9.0,3.0,0,8,4,4,0.5,0.125,4130,230.0
Threnody,Goldmund,COKUNUBI,4,83283,11.5,1.75,0,8,4,4,0.5,0.5,728,230.0
Bernal Heights,Duckwrth,COKUNUBI,2,16503,10.0,4.5,1,16,8,5,0.3125,0.125,1552,133.0
FALL BACK,Duckwrth,COKUNUBI,5,75663,12.6,3.0,1,16,8,5,0.3125,0.3125,581,133.0
LOVE IS LIKE A MOSHPIT,Duckwrth,COKUNUBI,1,63,14.0,4.0,0,16,8,5,0.3125,0.0625,4131,133.0
NOBODY FALLS,Duckwrth,COKUNUBI,2,8943,12.5,5.0,1,16,8,5,0.3125,0.125,1556,133.0
SOPRANO,Duckwrth,COKUNUBI,1,10563,11.0,3.0,0,16,8,5,0.3125,0.0625,4104,133.0
Start a Riot,Duckwrth,COKUNUBI,2,21843,8.5,1.5,0,16,8,5,0.3125,0.125,1555,133.0
THROWYOASSOUT,Duckwrth,COKUNUBI,2,16203,10.5,4.5,1,16,8,5,0.3125,0.125,1554,133.0
UNSTATUS QUO,Duckwrth,COKUNUBI,1,10203,11.0,1.0,0,16,8,5,0.3125,0.0625,4102,133.0
Bess' Sons,Rachel Portman,COKUNUBI,1,84003,15.0,0.0,0,50,11,23,0.46,0.02,4073,61.0
End Credits ,Rachel Portman,COKUNUBI,2,73263,18.0,2.0,0,50,11,23,0.46,0.04,1553,61.0
Firing Squad,Rachel Portman,COKUNUBI,1,9243,11.0,1.0,0,50,11,23,0.46,0.02,4101,61.0
Gee and Grey Together In Bath,Rachel Portman,COKUNUBI,7,84243,15.857142857142858,3.142857142857143,2,50,11,23,0.46,0.14,354,61.0
I Won't Ruin Him,Rachel Portman,COKUNUBI,2,69183,16.0,2.0,0,50,11,23,0.46,0.04,1843,61.0
Main Title,Rachel Portman,COKUNUBI,23,85863,13.565217391304348,1.8695652173913044,0,50,11,23,0.46,0.46,65,61.0
Sisterhood,Rachel Portman,COKUNUBI,1,12063,11.0,3.0,0,50,11,23,0.46,0.02,4074,61.0
The Duchess,Rachel Portman,COKUNUBI,1,31623,5.0,5.0,1,50,11,23,0.46,0.02,4075,61.0
The Last Dinner,Rachel Portman,COKUNUBI,4,78303,17.0,0.5,0,50,11,23,0.46,0.08,723,61.0
The Story of Grandmere ,Rachel Portman,COKUNUBI,7,82683,13.142857142857142,2.2857142857142856,1,50,11,23,0.46,0.14,407,61.0
Vianne Sets Up Shop,Rachel Portman,COKUNUBI,1,5643,12.0,2.0,0,50,11,23,0.46,0.02,4076,61.0
Best Foot Forward,DJ Shadow,COKUNUBI,2,50403,0.0,5.0,2,2,1,2,1.0,1.0,1564,560.0
Best Life,Hardy Caprio,COKUNUBI,1,71163,18.0,1.0,0,4,3,2,0.5,0.25,4077,369.0
Guten Tag,Hardy Caprio,COKUNUBI,2,41703,4.0,3.0,0,4,3,2,0.5,0.5,1551,369.0
Unsigned,Hardy Caprio,COKUNUBI,1,303,14.0,3.0,0,4,3,2,0.5,0.25,4078,369.0
Best One (Remix),Nxworries,COKUNUBI,2,41223,5.5,3.0,1,8,3,4,0.5,0.25,1540,230.0
Scared Money,Nxworries,COKUNUBI,4,85563,8.75,2.25,1,8,3,4,0.5,0.5,713,230.0
What More Can I Say,Nxworries,COKUNUBI,2,8823,13.0,1.5,0,8,3,4,0.5,0.25,1541,230.0
Best Part (feat. H.E.R.),Daniel Caesar,COKUNUBI,1,32163,5.0,5.0,1,1,1,1,1.0,1.0,4079,807.0
Best Part of Me (feat. YEBBA),Ed Sheeran,COKUNUBI,1,38163,3.0,5.0,1,6,6,1,0.16666666666666666,0.16666666666666666,4080,278.0
Kiss Me,Ed Sheeran,COKUNUBI,1,29043,6.0,5.0,1,6,6,1,0.16666666666666666,0.16666666666666666,4081,278.0
Perfect,Ed Sheeran,COKUNUBI,1,24723,7.0,5.0,1,6,6,1,0.16666666666666666,0.16666666666666666,4082,278.0
Photograph,Ed Sheeran,COKUNUBI,1,25863,7.0,5.0,1,6,6,1,0.16666666666666666,0.16666666666666666,4083,278.0
Tenerife Sea,Ed Sheeran,COKUNUBI,1,30843,5.0,5.0,1,6,6,1,0.16666666666666666,0.16666666666666666,4084,278.0
Thinking Out Loud,Ed Sheeran,COKUNUBI,1,23583,7.0,5.0,1,6,6,1,0.16666666666666666,0.16666666666666666,4085,278.0
Best Years of My Life,Pistol Annies,rosiedempsey93,7,83748,13.571428571428571,2.5714285714285716,2,7,1,7,1.0,1.0,169,168.0
Best of Me,Anthony Hamilton,COKUNUBI,1,4323,13.0,1.0,0,4,4,1,0.25,0.25,4086,369.0
